id	Question	Gold answers	Model answer	Acceptable?	BEM probs per gold answer
831	cls bank deals with transactions arising out of	foreign exchange market | the foreign exchange market	the foreign exchange market	Yes	"[[0.00898557435721159, 0.991014301776886], [0.008567722514271736, 0.9914323091506958]]"
832	cls bank deals with transactions arising out of	foreign exchange market | the foreign exchange market	the forex market	No	"[[0.9543566703796387, 0.04564334452152252], [0.8961114883422852, 0.10388853400945663]]"
833	cls bank deals with transactions arising out of	foreign exchange market | the foreign exchange market	FX	No	"[[0.9542038440704346, 0.04579612612724304], [0.9605544209480286, 0.03944544494152069]]"
834	when did the name of bombay change to mumbai	1995	1996	No	"[[0.7974775433540344, 0.20252251625061035]]"
835	when did the name of bombay change to mumbai	1995	November 1995	Yes	"[[0.009071431122720242, 0.9909285306930542]]"
836	when did the name of bombay change to mumbai	1995	1995	Yes	"[[0.010205477476119995, 0.9897944331169128]]"
837	when did the name of bombay change to mumbai	1995	The name of Bombay officially changed to Mumbai in 1995.	Yes	"[[0.011524761095643044, 0.9884752631187439]]"
838	what is the first covenant in the old testament	the Noahic Covenant	the Mosaic covenant	No	"[[0.8329648971557617, 0.16703513264656067]]"
839	what is the first covenant in the old testament	the Noahic Covenant	The Noahic Covenant	Yes	"[[0.012588093057274818, 0.9874118566513062]]"
840	what is the first covenant in the old testament	the Noahic Covenant	genesis	No	"[[0.9417582750320435, 0.05824178084731102]]"
841	what is the first covenant in the old testament	the Noahic Covenant	Noahic Covenant	Yes	"[[0.01249474287033081, 0.9875052571296692]]"
842	what is the first covenant in the old testament	the Noahic Covenant	torah	No	"[[0.9522684812545776, 0.047731444239616394]]"
843	what is the first covenant in the old testament	the Noahic Covenant	The first covenant in the Old Testament is the Covenant of Abraham.	No	"[[0.7878867983818054, 0.2121131718158722]]"
844	what is the first covenant in the old testament	the Noahic Covenant	Mosaic covenant	No	"[[0.88100266456604, 0.11899726092815399]]"
845	which level of weight bearing often comes with a set number of pounds	Partial weight-bearing	Partial weight bearing	Yes	"[[0.008828327059745789, 0.9911717176437378]]"
846	which level of weight bearing often comes with a set number of pounds	Partial weight-bearing	leg	No	"[[0.9154704213142395, 0.08452960103750229]]"
847	which level of weight bearing often comes with a set number of pounds	Partial weight-bearing	weight for age	No	"[[0.7394601702690125, 0.2605398893356323]]"
848	which level of weight bearing often comes with a set number of pounds	Partial weight-bearing	olympic	No	"[[0.9354190230369568, 0.06458102911710739]]"
849	which level of weight bearing often comes with a set number of pounds	Partial weight-bearing	normal weight: 18.5 to 25	No	"[[0.926812469959259, 0.07318748533725739]]"
850	which level of weight bearing often comes with a set number of pounds	Partial weight-bearing	weight stack	No	"[[0.7495182752609253, 0.25048166513442993]]"
851	which level of weight bearing often comes with a set number of pounds	Partial weight-bearing	weight	No	"[[0.5752955079078674, 0.4247044324874878]]"
852	which level of weight bearing often comes with a set number of pounds	Partial weight-bearing	body weight	No	"[[0.8725255131721497, 0.12747445702552795]]"
853	which level of weight bearing often comes with a set number of pounds	Partial weight-bearing	Partial weight bearing typically comes with a set number of pounds.	Yes	"[[0.008504551835358143, 0.9914954900741577]]"
854	which level of weight bearing often comes with a set number of pounds	Partial weight-bearing	Standard	No	"[[0.9410314559936523, 0.05896855518221855]]"
855	actress who plays penelope garcia on criminal minds	Kirsten Simone Vangsness	Kirsten Vangsness	Yes	"[[0.18365620076656342, 0.8163437843322754]]"
856	actress who plays penelope garcia on criminal minds	Kirsten Simone Vangsness	Kirsten Vangsness.	Yes	"[[0.07924161106348038, 0.9207584261894226]]"
857	actress who plays penelope garcia on criminal minds	Kirsten Simone Vangsness	kirsten simone vangsness	Yes	"[[0.010889522731304169, 0.9891104698181152]]"
858	who sings i want to be a rockstar	Billy Gibbons of ZZ Top | Canadian rock band Nickelback | Nickelback	nickelback	Yes	"[[0.9598928689956665, 0.04010716453194618], [0.6117018461227417, 0.38829806447029114], [0.009236631914973259, 0.9907633066177368]]"
859	who sings i want to be a rockstar	Billy Gibbons of ZZ Top | Canadian rock band Nickelback | Nickelback	Nickelback.	Yes	"[[0.9602125883102417, 0.039787352085113525], [0.5945206880569458, 0.40547919273376465], [0.0093838507309556, 0.9906162023544312]]"
860	who sings i want to be a rockstar	Billy Gibbons of ZZ Top | Canadian rock band Nickelback | Nickelback	The Byrds	No	"[[0.9619455933570862, 0.03805442899465561], [0.9569010138511658, 0.04309903457760811], [0.9572402238845825, 0.042759764939546585]]"
861	who sings i want to be a rockstar	Billy Gibbons of ZZ Top | Canadian rock band Nickelback | Nickelback	canadian rock band nickelback	Yes	"[[0.9518650770187378, 0.04813490808010101], [0.009389566257596016, 0.9906104207038879], [0.009080437012016773, 0.9909195899963379]]"
862	who presides over the highest criminal court in a district	District Judge	Sessions judge	Yes	"[[0.4529053270816803, 0.5470946431159973]]"
863	who presides over the highest criminal court in a district	District Judge	The District Judge	Yes	"[[0.011985404416918755, 0.9880145192146301]]"
864	who presides over the highest criminal court in a district	District Judge	District Judge	Yes	"[[0.009481923654675484, 0.9905180335044861]]"
865	who presides over the highest criminal court in a district	District Judge	District and Sessions judge	Yes	"[[0.010592245496809483, 0.9894077777862549]]"
866	who presides over the highest criminal court in a district	District Judge	The presiding judge of the highest criminal court in a district is typically the Chief Justice of the district.	Yes	"[[0.01529383473098278, 0.9847060441970825]]"
867	who presides over the highest criminal court in a district	District Judge	chief justice	No	"[[0.9296512603759766, 0.07034880667924881]]"
868	who presides over the highest criminal court in a district	District Judge	Chief judge	Yes	"[[0.404523640871048, 0.5954763293266296]]"
869	who played susanna in legends of the fall	Julia Ormond	Julia Ormond.	Yes	"[[0.01002045813947916, 0.98997962474823]]"
870	who played susanna in legends of the fall	Julia Ormond	julia ormond	Yes	"[[0.010141369886696339, 0.9898585081100464]]"
871	when does elena turn into a vampire in the tv series	fourth season | season four	"Season 3 , Episode 22"	No	"[[0.9442838430404663, 0.055716175585985184], [0.6641767024993896, 0.3358233869075775]]"
872	when does elena turn into a vampire in the tv series	fourth season | season four	fourth season	Yes	"[[0.009591158479452133, 0.9904088973999023], [0.6632651686668396, 0.3367348611354828]]"
873	when does elena turn into a vampire in the tv series	fourth season | season four	Unknown.	No	"[[0.950753927230835, 0.04924606531858444], [0.9410379528999329, 0.05896201729774475]]"
874	who became the king of ayodhya after ram	Kusha	Rishabha	No	"[[0.7838390469551086, 0.21616096794605255]]"
875	who became the king of ayodhya after ram	Kusha	skandagupta	No	"[[0.9617332220077515, 0.03826676309108734]]"
876	who became the king of ayodhya after ram	Kusha	Bharat	No	"[[0.9542492032051086, 0.045750848948955536]]"
877	who became the king of ayodhya after ram	Kusha	Kusha	Yes	"[[0.01135882455855608, 0.9886410236358643]]"
878	who became the king of ayodhya after ram	Kusha	Bharata	No	"[[0.9570784568786621, 0.042921509593725204]]"
879	who became the king of ayodhya after ram	Kusha	"Bharata, the brother of Rama, became the king of Ayodhya after Rama."	No	"[[0.625325620174408, 0.37467435002326965]]"
880	how many episodes of sabrina the teenage witch are there	163	66	No	"[[0.9533392190933228, 0.0466606467962265]]"
881	how many episodes of sabrina the teenage witch are there	163	65	No	"[[0.9580106139183044, 0.04198933392763138]]"
882	how many episodes of sabrina the teenage witch are there	163	There are a total of 7 seasons and 163 episodes of Sabrina the Teenage Witch.	Yes	"[[0.009596708230674267, 0.9904032945632935]]"
883	how many episodes of sabrina the teenage witch are there	163	67	No	"[[0.9543505311012268, 0.045649442821741104]]"
884	how many episodes of sabrina the teenage witch are there	163	163	Yes	"[[0.011206059716641903, 0.9887940287590027]]"
885	how many episodes of sabrina the teenage witch are there	163	ten	No	"[[0.9402810335159302, 0.059718962758779526]]"
886	what type of speed does a speedometer measure	instantaneous speed | speed of a vehicle	The speedometer measures the speed of a vehicle in miles per hour (mph).	Yes	"[[0.9180395007133484, 0.08196055144071579], [0.011136575601994991, 0.988863468170166]]"
887	what type of speed does a speedometer measure	instantaneous speed | speed of a vehicle	Vehicle speed	Yes	"[[0.9175708293914795, 0.08242910355329514], [0.01672697439789772, 0.9832730293273926]]"
888	what type of speed does a speedometer measure	instantaneous speed | speed of a vehicle	instantaneous speed	Yes	"[[0.011355722323060036, 0.9886442422866821], [0.6229742169380188, 0.3770258128643036]]"
889	what type of speed does a speedometer measure	instantaneous speed | speed of a vehicle	instantaneous	Yes	"[[0.010977436788380146, 0.9890224933624268], [0.8889464139938354, 0.11105369031429291]]"
890	where was the tv show friday night lights filmed	Pflugerville | Austin	austin texas	Yes	"[[0.9586556553840637, 0.04134434461593628], [0.01102554239332676, 0.988974392414093]]"
891	where was the tv show friday night lights filmed	Pflugerville | Austin	"Austin , Texas"	Yes	"[[0.9654269814491272, 0.034572988748550415], [0.012552454136312008, 0.9874475002288818]]"
892	where was the tv show friday night lights filmed	Pflugerville | Austin	"austin, texas"	Yes	"[[0.9654269814491272, 0.034572988748550415], [0.012552454136312008, 0.9874475002288818]]"
893	where was the tv show friday night lights filmed	Pflugerville | Austin	"The TV show Friday Night Lights was filmed in Austin, Texas."	Yes	"[[0.915903627872467, 0.08409636467695236], [0.013385741040110588, 0.9866142868995667]]"
894	where was the tv show friday night lights filmed	Pflugerville | Austin	Austin	Yes	"[[0.9612888693809509, 0.03871121257543564], [0.011444183997809887, 0.988555908203125]]"
895	when did virgin australia (formerly virgin blue) commence flying in australia	November 1999	November 1999	Yes	"[[0.009002776816487312, 0.990997314453125]]"
896	when did virgin australia (formerly virgin blue) commence flying in australia	November 1999	August 2000	No	"[[0.906771719455719, 0.09322833269834518]]"
897	when did virgin australia (formerly virgin blue) commence flying in australia	November 1999	27 February 2009	No	"[[0.9468117952346802, 0.05318821221590042]]"
898	when did virgin australia (formerly virgin blue) commence flying in australia	November 1999	Virgin Australia (formerly Virgin Blue) commenced flying in Australia in August 2000.	No	"[[0.6736814379692078, 0.32631856203079224]]"
899	when did virgin australia (formerly virgin blue) commence flying in australia	November 1999	"August 31 , 2000"	No	"[[0.9226839542388916, 0.07731600850820541]]"
900	who told the story of the prodigal son	Jesus Christ	Jesus	Yes	"[[0.01567135937511921, 0.98432856798172]]"
901	who told the story of the prodigal son	Jesus Christ	the Reverend Robert Wilkins	No	"[[0.958082377910614, 0.04191764071583748]]"
902	who told the story of the prodigal son	Jesus Christ	jesus christ	Yes	"[[0.00943045224994421, 0.990569531917572]]"
903	who told the story of the prodigal son	Jesus Christ	Jesus Christ.	Yes	"[[0.009865264408290386, 0.9901346564292908]]"
904	who told the story of the prodigal son	Jesus Christ	Robert Wilkins	No	"[[0.9597600698471069, 0.04023991525173187]]"
905	who told the story of the prodigal son	Jesus Christ	Reverend Robert Wilkins	No	"[[0.9563677906990051, 0.04363222047686577]]"
906	3 candidates for the democratic nomination in 1960	George H. McLain | John F. Kennedy | Pat Brown	senator hubert humphrey	No	"[[0.9480125308036804, 0.0519874170422554], [0.9416555166244507, 0.05834447592496872], [0.9427796006202698, 0.05722041055560112]]"
907	3 candidates for the democratic nomination in 1960	George H. McLain | John F. Kennedy | Pat Brown	"John F. Kennedy, Hubert Humphrey, and Stuart Symington."	Yes	"[[0.9563506841659546, 0.043649230152368546], [0.19592693448066711, 0.8040729761123657], [0.9595581889152527, 0.04044178128242493]]"
908	3 candidates for the democratic nomination in 1960	George H. McLain | John F. Kennedy | Pat Brown	John F. Kennedy	Yes	"[[0.9542570114135742, 0.04574298486113548], [0.03810359537601471, 0.9618963599205017], [0.9562280774116516, 0.04377184808254242]]"
909	3 candidates for the democratic nomination in 1960	George H. McLain | John F. Kennedy | Pat Brown	john f kennedy	Yes	"[[0.9579270482063293, 0.04207303002476692], [0.059706032276153564, 0.9402939677238464], [0.9553750157356262, 0.04462502896785736]]"
910	who plays in the new mary poppins movie	Nathanael Saleh | Colin Firth | Joel Dawson | Emily Mortimer | Ben Whishaw | Pixie Davies | Lin-Manuel Miranda | Julie Walters | Emily Blunt | Meryl Streep	emily blunt	Yes	"[[0.9516043663024902, 0.04839574173092842], [0.9572741985321045, 0.04272586479783058], [0.9552533030509949, 0.04474670812487602], [0.5776331424713135, 0.4223668575286865], [0.956670880317688, 0.0433291532099247], [0.959761917591095, 0.040238093584775925], [0.9617539644241333, 0.038245949894189835], [0.958244264125824, 0.041755713522434235], [0.010653556324541569, 0.989346444606781], [0.954759418964386, 0.04524055868387222]]"
911	who plays in the new mary poppins movie	Nathanael Saleh | Colin Firth | Joel Dawson | Emily Mortimer | Ben Whishaw | Pixie Davies | Lin-Manuel Miranda | Julie Walters | Emily Blunt | Meryl Streep	Emily Blunt and Lin-Manuel Miranda star in the new Mary Poppins movie.	Yes	"[[0.847565770149231, 0.15243417024612427], [0.9281668066978455, 0.07183319330215454], [0.9039865136146545, 0.09601344913244247], [0.454689621925354, 0.545310378074646], [0.7938329577445984, 0.20616698265075684], [0.9127413630485535, 0.08725856989622116], [0.01161187794059515, 0.9883880019187927], [0.8801226019859314, 0.1198774054646492], [0.010599338449537754, 0.9894006848335266], [0.6830771565437317, 0.3169229030609131]]"
